"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW005420","亞黃車房","AH WONG AUTO SERVICE","新界","N.T.","元朗","YUEN LONG","石崗林錦公路上村2A號","No. 2A, Sheung Tsuen, Lam Kam Road, Shek Kong","24889911","3","IC","2027-02-14","","22.432","114.103611","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW005442","偉興汽車服務","WAI HING AUTO SERVICE","新界","N.T.","屯門","TUEN MUN","建榮里2號偉邦工業大廈地下E室","Flat E, G/F, Wellpoint Industrial Building, No. 2, Kin Wing Lane, ","24629200","3","IC","2028-10-07","","22.39608","113.96851","私家車, 的士","Private Car, Taxi","","","","","","","","","","","","","","","","","","","","",""
"VMW005455","駿名汽車公司","GOOD FAME MOTOR CO","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣九龍城道88號地下A舖","Shop A, G/F, No. 88, Kowloon City Road, To Kwa Wan","23653279","3","IC","2028-05-18","","22.31876","114.18936","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005464","大成車房","TAI SHING AUTO SERVICE","香港","Hong Kong","東區","EASTERN DISTRICT","北角錦屏街63號地下A1舖","Shop A1, G/F, No. 63, Kam Ping Street, North Point","","4","IC","2025-08-23","*","22.28971","114.20052","私家車","Private Car","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW005475","啟程汽車服務","KENNY SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣忠信街13號地下","G/F, No. 13, Chung Sun Street, To Kwa Wan","65888787","4","IC","2028-10-09","","22.31951","114.19404","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW005486","新界車房","N. T. MOTOR","新界","N.T.","元朗","YUEN LONG","橫洲宏業東街22號安勁工業大廈地下D舖","Shop D, G/F, Annking Industrial Building, No. 22, Wang Yip Street East, Wang Chau","24732533","3","IC","2028-08-13","","22.44901","114.0293","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW005497","星寶汽車維修公司","星寶汽車維修公司","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鹿鳴街5號地下","G/F, No. 5, Luk Ming Street, To Kwa Wan","35425230","4","IC","2026-05-12","","22.3214975","114.1914422","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005500","1118騎士工作室","1118 RIDER WORK SHOP","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣駿發街20號地下","G/F, No. 20, Tsun Fat Street, To Kwa Wan","61939311","4","IC","2028-12-29","","22.3210645","114.1933865","電單車","Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW005511","合發汽車服務有限公司","HOP FAT MOTOR CARS SERVICE LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","新蒲崗三祝街20號百勝工廠大廈地下C舖","Shop C, G/F, Victorious Factory Building, No. 20, Sam Chuk Street, San Po Kong","27263298","3","IC","2028-10-09","","22.3352971","114.198369","小巴, 巴士","Light Bus, Bus","","","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","Su 09:00-18:00,Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW005546","耀誠零件及服務公司","BEGOLD AUTO PARTS & SERVICE CO.","新界","N.T.","元朗","YUEN LONG","米埔新村1A5號","No. 1A5, Mai Po San Tsuen, ","26680129","3","IC","2028-03-02","","22.490726","114.063652","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005555","新興汽車維修服務公司","SUN HING CAR REPAIR SERVICES COMPANY","新界","N.T.","北區","NORTH DISTRICT","粉嶺上山雞乙村 DD84, LOT981A","DD84, LOT981A Sheung Shan Kai Wat Fanling","95510268","3","IC","2025-09-08","*","22.521748","114.150729","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW005577","太陽汽車服務公司","SUNSHINE MOTOR SERVICE CO.","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣落山道41號瑞英工業大廈地下E舖","Flat E, G/F, Sui Ying Industrial Building, No. 41, Lok Shan Road, To Kwa Wan","24111991","3","IC","2028-06-03","","22.3153812","114.1907978","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW005588","寵霸","PET DOMINATION","新界","N.T.","葵青","KWAI TSING","葵涌永基路18號優之良品中心地下C02&03","C02 & C03, G/F, Aji Ichiban Centre, No. 18, Wing Kei Road, Kwai Chung","91092566","3","IC","2027-12-20","","22.3582278","114.1184962","私家車","Private Car","一般車輛維修 (機械和電器工作), 車身修理, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Body works, Engine oil changing","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW005599","新匡明電單車中心","H M MOTORCYCLE SERVICE CENTER","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀萬安街2-6號地下AB舖","Shop AB G/F, No. 2-6, Man On Street, Tai Kok Tsui","23971144","4","IC","2028-04-25","","22.323413","114.161487","電單車","Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW005613","寶鋒汽車維修有限公司","PERFECT AUTO SERVICE LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","新蒲崗三祝街15-17號啟業工廠大廈地下","G/F, Kai Yip Factory Building, No. 15-17, Sam Chuk Street, San Po Kong","23243882","3","IC,EVL","2026-08-10","","22.3361","114.1977","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","09:00","18:30","R","R","R","R","Mo 09:00-18:30, Tu 09:00-18:30, We 09:00-18:30, Th 09:00-18:30, Fr 09:00-18:30, Sa 09:00-18:30"
"VMW005635","財記汽車服務中心","CHOI KEE MOTOR SERVICE CENTRE","九龍","Kowloon","九龍城","KOWLOON CITY","紅磡鶴園東街1號富恆工業大廈地下4號舖","No. 4, G/F, Fu Hang Industrial Building, No. 1, Hok Yuen Street East, Hung Hom","23653668","3","IC","2026-05-08","","22.31069","114.19009","私家車, 小巴","Private Car, Light Bus","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005646","羅賓漢汽車有限公司","ROBINHOOD HOLDINGS LIMITED","九龍","Kowloon","觀塘","KWUN TONG","九龍灣臨興街28號富洋工業中心地下4號舖","Unit 4, G/F, Hope Sea Industrial Centre, No. 28, Lam Hing Street, Kowloon Bay","26669990","3","IC","2028-03-12","","22.324583","114.209917","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005679","江明車房","KONG MING MOTOR CO","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀必發道99號A偉益工業大廈地下","G/F, Wai Yick Industrial Building, No. 99A, Bedford Road, Tai Kok Tsui","23942808","3","IC","2028-03-23","","22.32378","114.16271","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","R","R","R","R","Mo 09:30-18:30, Tu 09:30-18:30, We 09:30-18:30, Th 09:30-18:30, Fr 09:30-18:30, Sa 09:30-18:30"
"VMW005680","進達汽車服務公司","TSUN DAK MOTOR SERVICE COMPANY","香港","Hong Kong","南區","SOUTHERN DISTRICT","黃竹坑業發街12號松柏工業大廈地下B1舖","Flat B1, G/F, Evergreen Industrial Mansion, No. 12, Yip Fat Street, Wong Chuk Hang","","3","IC","2025-10-08","*","22.24925","114.16894","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW005704","權記汽車服務有限公司","KUEN KEE MOTOR SERVICES LIMITED","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","西營盤山道57號昌運大廈地下","G/F, Cheong Wan Mansion, No. 57, Hill Road, Sai Ying Pun","25591309","4","IC","2028-12-07","","22.28454","114.13594","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW005715","明信汽車服務公司","MING SHUN MOTOR SERVICES CO.","香港","Hong Kong","灣仔","WAN CHAI","堅彌地街1A號景星樓地下3號舖","Shop 3, G/F, King Sing House, No. 1A, Kennedy Street, ","25738848","4","IC","2028-07-02","","22.273867","114.1744732","私家車","Private Car","","","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW005726","培記車房有限公司","PUI KEE GARAGE LIMITED","香港","Hong Kong","灣仔","WAN CHAI","跑馬地昇平街1-5號愉昇閣地下A舖","Shop A, G/F, Cheerful Court, No. 1-5, Shing Ping Street, Happy Valley","28920044","4","IC","2028-06-03","","22.26814","114.18691","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW005737","環保動力汽車服務有限公司","HYBRID SYNERGY CAR SERVICES LIMITED","九龍","Kowloon","觀塘","KWUN TONG","駿業街43-45號創匯廣場地下1號舖","Flat 01, G/F, Core 45, No. 43-45, Tsun Yip Street, ","29977551","3","IC","2028-03-07","","22.31049","114.22137","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW005748","澤田汽車有限公司","CHAK TIN MOTOR LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣美善同里3號地下","G/F, No. 3, Maidstone Lane, To Kwa Wan","23647009","4","IC,EVL","2028-05-26","","22.31957","114.1867","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","R","R","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-19:00"
"VMW005759","粉嶺汽車工程有限公司","FANLING GARAGE LIMITED","新界","N.T.","北區","NORTH DISTRICT","粉嶺聯和墟聯昌街22號地下","G/F, No. 22, Luen Cheong Street, Luen Wo Hui, Fanling","26754913","4","IC","2028-03-12","","22.4995","114.14311","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005760","志樂汽車服務","CHI LOK MOTOR REPAIR SERVICE","九龍","Kowloon","黃大仙","WONG TAI SIN","銀鳳街38號地下","G/F, No. 38, Ngan Fung Street, ","23241935","4","IC","2026-04-24","","22.34532","114.19806","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","","","","","","","","","","","","","","","","","","",""
"VMW005771","國華汽車有限公司","KWOK WA AUTO COMPANY LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鵬程街8號地下","G/F, No. 8, Pang Ching Street, To Kwa Wan","29948889","4","IC","2028-04-15","","22.3212","114.19229","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW005793","名城汽車服務公司","ALLAN MOTORS SERVICE COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鷹揚街23 及 24號地下","G/F, No. 23 & 24, Ying Yeung Street, To Kwa Wan","34864996","4","IC","2026-01-27","","22.32174","114.19219","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005806","金煌車行","KAM WONG MOTORS","九龍","Kowloon","九龍城","KOWLOON CITY","打鼓嶺道59號地下","G/F, No. 59, Tak Ku Ling Road, ","27166155","4","IC","2028-05-26","","22.3297138","114.1915197","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW005817","友聯汽車服務","YAU LUEN AUTOMOBILE SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣忠信街15號地下","G/F, No. 15, Chung Sun Street, To Kwa Wan","23652317","4","IC","2028-06-04","","22.319483","114.194058","私家車, 的士","Private Car, Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 車身修理","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Body works","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW005828","兄弟汽車修理","BROTHER MOTORS REPAIRING","新界","N.T.","北區","NORTH DISTRICT","上水石湖新村北 DD51, LOT 800, 801 & 802A","DD51, LOT 800, 801 & 802A North of Shek Wu New Village, Sheung Shui","","3","IC","2026-12-25","","22.507525","114.133751","中型貨車","Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW005839","佳運汽車服務","LUCKY MOTOR SERVICE","新界","N.T.","北區","NORTH DISTRICT","上水虎地拗道粵華車塲 DD 52, LOT 95B 96B 99 118A 130ARP 131A 132 134RP 135","DD 52, LOT 95B 96B 99 118A 130ARP 131A 132 134RP 135 Fu Tei Au Road, Sheung Shui","26729332","3","IC","2028-03-11","","22.51745","114.125168","私家車, 巴士, 輕型貨車, 中型貨車, 重型貨車","Private Car, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005851","友利汽車工程有限公司","YAU LEE MOTOR ENGINEERING CO., LIMITED","新界","N.T.","元朗","YUEN LONG","錦上路吳家村 DD 106, LOT 635","DD 106, LOT 635 Ng Ka Tsuen, Kam Sheung Road, ","92614615","3","IC","2029-02-19","","22.435526","114.070602","私家車, 輕型貨車, 中型貨車, 重型貨車, 電單車","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW005873","逸龍汽車服務","FREE DRAGON MOTOR SERVICE","香港","Hong Kong","東區","EASTERN DISTRICT","筲箕灣西灣河街23號富欣閣地下1號舖","Shop 1, G/F, Fu Yan Court, No. 23, Sai Wan Ho Street, Shau Kei Wan","","4","IC","2028-04-25","","22.2798831","114.2243516","私家車","Private Car","","","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","18:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-18:00"
"VMW005908","維他奶國際集團有限公司","VITASOY INTERNATIONAL HOLDINGS LIMITED","新界","N.T.","屯門","TUEN MUN","青楊街6號宏昌工業大廈地下C室","Unit C, G/F, Wang Cheung Industrial Building, No. 6, Tsing Yeung Circuit, , ","24603145","2","IC","2028-05-18","","22.39971","113.96987","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW005919","耀記汽車工程","YIU KEE CAR REPAIRING","新界","N.T.","沙田","SHA TIN","大埔公路-大埔滘段赤泥坪 DD 42, LOT412(PT)&LOT413(PT)&LOT414&LOT415 RP&SA&SB&LOT423 RP(Tp)&SA(PT)","DD 42, LOT412(PT)&LOT413(PT)&LOT414&LOT415 RP&SA&SB&LOT423 RP(Tp)&SA(PT) Chek Nai Ping, Tai Po Road - Tai Po Kau","26991239","3","IC","2028-03-11","","22.41903","114.20223","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005920","皓志有限公司","HOPE CHAMPION LIMITED","香港","Hong Kong","灣仔","WAN CHAI","跑馬地晉源街7號A地下","G/F, No. 7A, Tsun Yuen Street, Happy Valley","21470283","4","IC,EVL","2028-04-15","","22.2675385","114.187314","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW005931","輝煌潤滑油服務有限公司","BRILLIANT LUBRICATING OIL SERVICES CO., LIMITED","九龍","Kowloon","深水埗","SHAM SHUI PO","東沙島街153號地下","G/F, No. 153, Pratas Street, ","23601610","4","IC","2028-09-16","","22.33505","114.15919","私家車, 小巴, 輕型貨車","Private Car, Light Bus, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW005943","雷威車房","LUI WAI GARAGE","香港","Hong Kong","灣仔","WAN CHAI","跑馬地藍塘道43號地下","G/F, No. 43, Blue Pool Road, Happy Valley","","4","IC","2028-03-12","","22.26748","114.18812","私家車","Private Car","車身修理","Body works","","","","","","","","","","","","","","","","","","",""
"VMW005975","先達汽車工程有限公司 (葵涌)","SUNSTAR MOTOR ENGINEERING LIMITED (KWAI CHUNG)","新界","N.T.","葵青","KWAI TSING","葵涌永基路35號嘉里溫控貨倉II","Kerry Ware House 2, No. 35, Wing Kei Road, Kwai Chung","24760336","3","IC","2028-03-29","","22.3595531","114.1182027","輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW005986","衡力化學廢料處理有限公司","ECOSPACE LIMITED","新界","N.T.","葵青","KWAI TSING","青衣青衣南路51號","No. 51, Tsing Yi Road South, Tsing Yi","24346359","3","IC","2028-06-17","","22.33151","114.1078","私家車, 輕型貨車, 中型貨車, 掛接式拖車頭及拖車架,其他","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Articulated Tractor and Trailer,Others","","","","","","","","","","","","","","","","","","","","",""
"VMW005997","利達汽車服務中心","LEADER MOTORS SERVICE CENTRE","香港","Hong Kong","灣仔","WAN CHAI","跑馬地綿發街5號地下","G/F, No. 5, Min Fat Street, Happy Valley","28934927","4","IC","2026-12-25","","22.2689424","114.1866156","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006060","偉業汽車服務","WAI YIP MOTOR SERVICE","新界","N.T.","元朗","YUEN LONG","十八鄉公庵路建庭花園停車場","Manwin Garden Car Park, Kung Um Road, Shap Pat Heung","61361790","3","IC,EVL","2028-05-26","","22.432837","114.022385","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW006082","世霸汽車工程公司","TOPS AUTO ENGINEERING CO.","新界","N.T.","沙田","SHA TIN","大圍成運路1-7號交通城大廈5樓13室","RM 13, 5/F, Transport City Building, No. 1-7, Shing Wan Road, Tai Wai","26062328","3","IC","2028-03-12","","22.37634","114.18158","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006093","泰力摩托車中心有限公司","TITANIC MOTO CENTRE LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","北角蜆殼街9-23號秀明中心地下A舖","Shop A, G/F, Seabright Plaza, No. 9-23, Shell Street, North Point","25122228","1","IC","2028-04-06","","22.28684","114.19195","電單車","Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","10:00","19:30","10:00","19:30","10:00","19:30","10:00","19:30","10:00","19:30","10:00","19:30","R","R","R","R","Mo 10:00-19:30, Tu 10:00-19:30, We 10:00-19:30, Th 10:00-19:30, Fr 10:00-19:30, Sa 10:00-19:30"
"VMW006106","CARRERA AUTOSPORT LIMITED","CARRERA AUTOSPORT LIMITED","新界","N.T.","元朗","YUEN LONG","十八鄉油渣埔村 DD118,, LOT1018,","DD118,, LOT1018, Yau Cha Po Village, Shap Pat Heung","23890044","3","IC","2028-08-13","","22.424935","114.036698","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006117","四八汽車服務","FOUR EIGHT MOTOR SERVICE CO.","香港","Hong Kong","灣仔","WAN CHAI","銅鑼灣景明道1號地下","G/F, No. 1, King Ming Road, Causeway Bay","25719953","4","IC","2028-04-06","","22.287","114.1908","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW006139","興仁汽車服務","HING YAN MOTOR SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣興仁街12號地下","G/F, No. 12, Hing Yan Street, To Kwa Wan","23643724","4","IC","2026-04-03","","22.3194","114.19444","輕型貨車","Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006140","TT站","TT STATION","新界","N.T.","屯門","TUEN MUN","新安街18號怡華工業大廈地下","G/F, Yee Wah Industrial Building, No. 18, San On Street, ","24531218","3","IC","2028-03-12","","22.39126","113.97062","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006151","快達汽車服務(香港)有限公司","FAI TAT MOTOR SERVICE (HK) COMPANY LIMITED","新界","N.T.","西貢","SAI KUNG","沙角尾大路6號C地下","G/F, No. 6C, Shakokmei Main Road, ","27928397","3","IC","2028-03-11","","22.386822","114.271118","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006173","德富汽車服務","TAK FU MOTOR CAR SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣興仁街1&3號地下","G/F, No. 1&3, Hing Yan Street, To Kwa Wan","96221511","4","IC","2026-12-25","","22.3195643","114.1948031","私家車, 的士, 輕型貨車, 中型貨車","Private Car, Taxi, Light Goods Vehicle, Medium Goods Vehicle","車身修理","Body works","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW006195","皇容汽車維修公司","KING FACE AUTO SERVICE CO.","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鹿鳴街23號地下","G/F, No. 23, Luk Ming Street, To Kwa Wan","","4","IC","2028-03-11","","22.32193","114.19169","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006220","碧輝汽車服務有限公司","BIK FAI MOTOR SERVICE LIMITED","九龍","Kowloon","觀塘","KWUN TONG","大業街25號高良工業大廈地下A舖","Shop A, G/F, Ko Leung Industrial Building, No. 25, Tai Yip Street, ","27569128","3","IC","2028-03-10","","22.31661","114.21513","私家車","Private Car","車身噴漆","Spray painting","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","R","R","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-19:00"
"VMW006242","永恒汽車服務","WING HANG MOTOR SERVICES","九龍","Kowloon","觀塘","KWUN TONG","牛頭角定業街15號仁寧大廈地下D舖","Shop D, G/F, Yen Ning Building, No. 15, Ting Yip Street, Ngau Tau Kok","","4","IC","2028-03-12","","22.31818","114.21551","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW006286","昇佳自動波箱服務有限公司","TA AUTO TRANSMISSION SERVICE LIMITED","新界","N.T.","元朗","YUEN LONG","石崗錦田公路 DD 114, LOT 546 SB RP","DD 114, LOT 546 SB RP Kam Tin Road, Shek Kong","24112078","3","IC","2028-03-11","","22.434805","114.101578","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作),其他","General vehicle maintenance (mechanical and electrical work),Others","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
